attribute_code	value_code	label_ru	usage_scope	status	brand_hint	consumable_type_hint	validation_mode
compatible_cartridge_code	HP_305	HP 305	head_delta	active	HP	INK_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	HP_305XL	HP 305XL	head_delta	active	HP	INK_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	HP_650	HP 650	head_delta	active	HP	INK_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	HP_652	HP 652	head_delta	active	HP	INK_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	HP_123	HP 123	head_delta	active	HP	INK_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	HP_953	HP 953	head_delta	active	HP	INK_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	HP_12A	HP 12A / Q2612A	head_delta	active	HP	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	HP_106A	HP 106A / W1106A	head_delta	active	HP	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	HP_59A	HP 59A / CF259A	head_delta	active	HP	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	HP_85A	HP 85A / CE285A	head_delta	active	HP	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	CANON_PG_445	Canon PG-445	head_delta	active	CANON	INK_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	CANON_CL_446	Canon CL-446	head_delta	active	CANON	INK_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	CANON_PG_545	Canon PG-545	head_delta	active	CANON	INK_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	CANON_CL_546	Canon CL-546	head_delta	active	CANON	INK_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	CANON_725	Canon 725	head_delta	active	CANON	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	CANON_737	Canon 737	head_delta	active	CANON	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	CANON_057	Canon 057	head_delta	active	CANON	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	EPSON_103	Epson 103	head_delta	active	EPSON	INK_BOTTLE	soft_suggest_only
compatible_cartridge_code	EPSON_104	Epson 104	head_delta	active	EPSON	INK_BOTTLE	soft_suggest_only
compatible_cartridge_code	EPSON_664	Epson 664	head_delta	active	EPSON	INK_BOTTLE	soft_suggest_only
compatible_cartridge_code	EPSON_673	Epson 673	head_delta	active	EPSON	INK_BOTTLE	soft_suggest_only
compatible_cartridge_code	EPSON_T00V	Epson T00V	head_delta	active	EPSON	INK_BOTTLE	soft_suggest_only
compatible_cartridge_code	BROTHER_TN_1075	Brother TN-1075	head_delta	active	BROTHER	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	BROTHER_TN_2421	Brother TN-2421	head_delta	active	BROTHER	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	BROTHER_LC_3219	Brother LC-3219	head_delta	active	BROTHER	INK_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	BROTHER_TZE_TAPE	Brother TZe tape	head_delta	active	BROTHER	LABEL_TAPE	soft_suggest_only
compatible_cartridge_code	SAMSUNG_MLT_D111S	Samsung MLT-D111S	head_delta	active	SAMSUNG	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	SAMSUNG_MLT_D101S	Samsung MLT-D101S	head_delta	active	SAMSUNG	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	XEROX_106R	Xerox 106R series	head_delta	active	XEROX	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	PANTUM_PC_211	Pantum PC-211	head_delta	active	PANTUM	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	PANTUM_PB_211	Pantum PB-211	head_delta	active	PANTUM	TONER_CARTRIDGE	soft_suggest_only
compatible_cartridge_code	DYMO_D1_TAPE	Dymo D1 tape	head_delta	active	DYMO	LABEL_TAPE	soft_suggest_only
compatible_cartridge_code	ZEBRA_LABEL_ROLL	Zebra label roll	head_delta	active	ZEBRA	LABEL_ROLL	soft_suggest_only
